TIME,OUT_T[*C],OUT_H[%],T6[*C],H6[%],T12[*C],H12[%],T18[*C],H18[%],T19[*C],H19[%],T24[*C],H24[%],T25[*C],H25[%],T26[*C],H26[%],LAMP_STATE,FAN_STATE,AC_STATE,HEATER_STATE,M0,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14H
2020-02-04 16:49:00.636062,36.0,25.0,29.0,42.0,28.0,37.0,25.0,46.0,34.0,33.0,30.0,32.0,27.0,38.0,28.0,41.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-04 16:49:14.765890,36.0,24.0,30.0,42.0,28.0,37.0,25.0,46.0,34.0,33.0,30.0,32.0,27.0,38.0,28.0,41.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-04 16:49:21.083119,36.0,24.0,30.0,42.0,28.0,37.0,25.0,46.0,34.0,33.0,30.0,32.0,27.0,38.0,28.0,41.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-04 16:49:29.907398,36.0,24.0,30.0,42.0,28.0,34.0,25.0,46.0,34.0,33.0,30.0,32.0,27.0,38.0,28.0,41.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-04 16:49:36.231421,36.0,24.0,30.0,42.0,28.0,37.0,25.0,46.0,34.0,33.0,30.0,32.0,27.0,38.0,28.0,41.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-04 16:49:42.526956,36.0,24.0,30.0,42.0,28.0,37.0,25.0,46.0,34.0,33.0,30.0,32.0,27.0,38.0,28.0,41.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-04 16:49:48.824162,36.0,24.0,30.0,42.0,28.0,37.0,25.0,46.0,34.0,33.0,30.0,32.0,27.0,38.0,28.0,41.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-04 16:49:57.646705,36.0,24.0,30.0,42.0,28.0,37.0,25.0,46.0,34.0,33.0,30.0,32.0,27.0,38.0,28.0,41.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-04 16:50:03.935623,36.0,24.0,30.0,42.0,28.0,37.0,25.0,46.0,34.0,33.0,30.0,32.0,27.0,38.0,28.0,41.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-04 16:50:15.284486,36.0,24.0,30.0,42.0,29.0,35.0,25.0,46.0,34.0,33.0,30.0,32.0,27.0,37.0,28.0,41.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
